,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
148,king-of-the-north-cartridge-1g,King Of The North Cartridge | 1g,Hustle & Shake,[35.4],False,[],,,Vaporizers,
149,king-palm-2-mini-rolls-banana,King Palm 2 Mini Rolls - Banana,Smoke Arsenal Inc.,[3.09],False,[],,,Accessories,
150,kush-cookies-96442,Kush Cookies,3 Saints,[26.55],False,[],,,Flower,
151,lemon-iced-tea-beverage,Lemon Iced Tea Beverage,XMG,[8.85],False,[],,,Edible,
152,lemon-lime-soda,Lemon Lime Soda,Bubble Kush,[6.2],False,[],,,Edible,
153,lighter-leash-regular-pack,Lighter Leash Regular Pack,Smoke Arsenal Inc.,[1.77],False,[],,,Accessories,
154,limon-splashdown,Limon Splashdown,Deep Space,[8.85],False,[],,,Edible,
155,live-resin-shatter-1g,Live Resin Shatter | 1g,Essex County Cannabis,[44.25],False,[],,,Concentrate,
156,lizard-glass-pipes,Lizard Glass Pipes,,[17.69],False,[],,,Accessories,
157,london-pound-cake-pre-roll-1g,London Pound Cake Pre-Roll | 1g,Cookies,[15.93],False,[],,,Pre-Rolls,
158,mad-mango-cartridge-1g,Mad Mango Cartridge | 1g,Versus,[26.55],False,[],,,Vaporizers,
159,magic-melon-autoflower-5-pack,Magic Melon Autoflower 5-Pack,Humboldt Seed Company,[53.1],False,[],,,Seeds,
160,mandarin-cookie,Mandarin Cookie,Weed Me,[9.73],False,[],,,Flower,
161,mango-fizz,Mango Fizz,Tweed,[5.31],False,[],,,Edible,
162,mango-sour-soft-chews,Mango Sour Soft Chews,Wana,[7.96],False,[],,,Edible,
163,mango-tangerine-gummies-5-pack,Mango Tangerine Gummies 5-pack,Sunshower,[8.85],False,[],,,Edible,
164,master-kush-milled-ready-to-roll,Master Kush Milled Ready-to-Roll,Common Ground,[26.55],False,[],,,Flower,
165,medtainer-3pc-grinder-and-smell-proof-jar-assorted-colors,Medtainer 3pc Grinder and Smell Proof Jar - Assorted Colors,Smoke Arsenal Inc.,[11.51],False,[],,,Accessories,
166,medtainer-xl-grinders,Medtainer XL Grinders,Smoke Arsenal Inc.,[22.12],False,[],,,Accessories,
167,megamelon-cartridge-1g,Megamelon Cartridge | 1g,SHRED,[33.63],False,[],,,Vaporizers,
168,milk-chocolate-cookies-cream,Milk Chocolate Cookies & Cream,Wabi Sabi,[8.85],False,[],,,Edible,
169,mint-cookie-blzrd-white-chocolate,Mint Cookie BLZRD White Chocolate,Legend,[5.31],False,[],,,Edible,
170,mirage-plus,Mirage Plus,SKOSHA,[37.17],False,[],,,Flower,
171,natural-charcoal-cbd-face-mask-100g,Natural Charcoal CBD Face Mask | 100g,Proofly,[40.71],False,[],,,Topicals,
172,nebula-ii-cbd-pre-roll-12-pack-4-2g,Nebula II CBD Pre-Roll 12-Pack | 4.2g,Divvy,[23.01],False,[],,,Pre-Rolls,
173,northern-widow-shatter-1g,Northern Widow Shatter | 1g,Qwest,[44.25],False,[],,,Concentrate,
174,og-cola,OG Cola,Sweet Justice,[6.19],False,[],,,Edible,
175,og-lemonade,OG Lemonade,Vicious Citrus,[8.84],False,[],,,Edible,
176,off-menu,Off Menu,Lot420,[44.25],False,[],,,Flower,
177,orange-chronic-16-oz,Orange Chronic 16 Oz,Smoke Arsenal Inc.,[13.28],False,[],,,Accessories,
178,orange-daydream-cbd-3-1-cartridge-1g,Orange Daydream CBD 3:1 Cartridge | 1g,Tenzo,[48.67],False,[],,,Vaporizers,
179,orange-hill-shatter-infused-pre-roll-3-pack-1-5g,Orange Hill Shatter Infused Pre-Roll 3-pack | 1.5g,Dab Bods,[30.97],False,[],,,Pre-Rolls,
180,orange-kush-ck-double-infused-pre-roll-1g,Orange Kush CK Double Infused Pre-Roll | 1g,Avana,[15.92],False,[],,,Pre-Rolls,
181,orange-kush-classic-soda-10mg,Orange Kush Classic Soda | 10mg,Keef,[6.2],False,[],,,Edible,
182,orange-kush-shatter-infused-pre-roll-1g,Orange Kush Shatter Infused Pre-Roll | 1g,Zest Cannabis,[22.12],False,[],,,Pre-Rolls,
183,orange-layer-cake-pre-roll-4-pack-2g,Orange Layer Cake Pre-Roll 4-pack | 2g,Potluck,[17.7],False,[],,,Pre-Rolls,
184,orange-monkey,Orange Monkey,liiv,[22.12],False,[],,,Flower,
185,orange-monkey-pre-roll-1g,Orange Monkey Pre-Roll | 1g,liiv,[8.85],False,[],,,Pre-Rolls,
186,orange-orbit,Orange Orbit,Deep Space,[8.85],False,[],,,Edible,
187,orange-passionfruit-sparkling-soda,Orange Passionfruit Sparkling Soda,Green Monké,[6.2],False,[],,,Edible,
188,organic-bubba-kush,Organic Bubba Kush,Whistler Cannabis Co.,[44.25],False,[],,,Flower,
189,organic-comatose-pre-roll-5-pack-3-5g,Organic Comatose Pre-Roll 5-pack | 3.5g,1964 Supply Co.,[37.17],False,[],,,Pre-Rolls,
190,organic-hemp-1-25-papers,"Organic Hemp 1.25"" Papers",RAW,[2.65],False,[],,,Accessories,
191,organic-hemp-kingsize-slim-papers,Organic Hemp Kingsize Slim Papers,RAW,[2.65],False,[],,,Accessories,
192,organic-la-kush-pre-roll-7-pack-3-5g,Organic LA Kush Pre-Roll 7-Pack | 3.5g,1964 Supply Co.,[35.4],False,[],,,Pre-Rolls,
193,organic-lebanese-hash-2g,Organic Lebanese Hash | 2g,1964 Supply Co.,[37.17],False,[],,,Concentrate,
194,organic-sweet-fuel-og-pre-roll-10-pack-3g,Organic Sweet Fuel OG Pre-Roll 10-pack | 3g,Treehugger,[35.4],False,[],,,Pre-Rolls,
195,pacific-island-punch-beverage,Pacific Island Punch Beverage,Sweet Justice,[8.84],False,[],,,Edible,
196,pacific-og-pre-roll-3-pack-1-5g,Pacific OG Pre-Roll 3-pack | 1.5g,Tantalus Labs,[13.27],False,[],,,Pre-Rolls,
197,peach-og-cartridge-1-2g,Peach OG Cartridge | 1.2g,BoxHot,[48.67],False,[],,,Vaporizers,
198,peach-ringz-cartridge-0-95g,Peach Ringz Cartridge | 0.95g,General Admission,[35.4],False,[],,,Vaporizers,
199,peak,Peak,Puffco,[341.6],False,[],,,Accessories,
200,penelope-10mg-softgels-15-pack,Penelope 10mg Softgels | 15-pack,Tweed,[26.55],False,[],,,Edible,
201,pineapple-habanero-hot-sauce,Pineapple Habanero Hot Sauce,Bogart's Kitchen,[11.5],False,[],,,Edible,
202,pineapple-nuken-pre-roll-12-pack-4-2g,Pineapple Nuken Pre-Roll 12-pack | 4.2g,Divvy,[23.01],False,[],,,Pre-Rolls,
203,pineapple-punch-live-resin-cartridge-1g,Pineapple Punch Live Resin Cartridge | 1g,Dab Bods,[48.67],False,[],,,Vaporizers,
204,pink-bubble-cartridge-1g,Pink Bubble! Cartridge | 1g,B!NGO,[33.63],False,[],,,Vaporizers,
205,pink-diamonds,Pink Diamonds,CALI,[33.63],False,[],,,Flower,
206,pink-kush,Pink Kush,Pure Sunfarms,"[21.24, 39.82, 70.8, 123.89]",False,[],,,Flower,
207,pink-kush-pre-roll-10-pack-3g,Pink Kush Pre-Roll 10-pack | 3g,Pure Sunfarms,[22.12],False,[],,,Pre-Rolls,
208,pink-kush-pre-roll-3-pack-1-5g,Pink Kush Pre-Roll 3-pack | 1.5g,Pure Sunfarms,[10.62],False,[],,,Pre-Rolls,
209,pink-lemonade-cartridge-1g,Pink Lemonade Cartridge | 1g,Divvy,[39.83],False,[],,,Vaporizers,
210,pink-star-fruit-thca-live-diamonds-1g,Pink Star Fruit THCA Live Diamonds | 1g,RAD,[39.83],False,[],,,Concentrate,
211,pink-wedding-kush-cartridge-1g,Pink Wedding Kush Cartridge | 1g,Original Stash,[35.4],False,[],,,Vaporizers,
212,platinum-grape,Platinum Grape,Organnicraft,[39.83],False,[],,,Flower,
213,pomegranate-4-1-cbd-thc-gummies,Pomegranate 4:1 CBD/THC Gummies,Pearls,[6.19],False,[],,,Edible,
214,pop-cone-pre-rolled-cones-3-ks-cones-pack-strawberry-jam,Pop Cone Pre Rolled Cones  - 3 KS Cones/pack - Strawberry Jam,Smoke Arsenal Inc.,[4.43],False,[],,,Accessories,
215,pre-rolled-tips-21-pack,Pre-Rolled Tips | 21-Pack,RAW,[1.76],False,[],,,Accessories,
216,puff-puff-pass-90mm-4-piece-grinder,Puff Puff Pass 90mm 4-Piece Grinder,Smoke Arsenal Inc.,[35.4],False,[],,,Accessories,
217,pumpkin-spice-latte-chocolate,Pumpkin Spice Latte Chocolate,Wabi Sabi,[8.85],False,[],,,Edible,
218,pure-hemp-classic-king-size-rolling-papers,Pure Hemp Classic King Size Rolling Papers,Smoke Arsenal Inc.,[2.65],False,[],,,Accessories,
219,purple-aya-pre-roll-7-pack-3-5g,Purple Aya Pre-Roll 7-Pack | 3.5g,1Spliff,[23.01],False,[],,,Pre-Rolls,
220,purple-jane-htfse-cartridge-1g,Purple Jane HTFSE Cartridge | 1g,Purple Hills,[44.25],False,[],,,Vaporizers,
