,seller,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
84,flowertopia,kush-mints,Kush Mints,Broken Coast Cannabis,42.95,False,,,,Flower,
85,flowertopia,legacy-gorilla-cookies,Legacy Gorilla Cookies,Pura Vida,18,False,,,,Flower,
86,flowertopia,lemon-lime-sparkling-beverage,Lemon Lime Sparkling Beverage,Everie,5.25,False,,,,Edible,
87,flowertopia,lemon-pepper-live-resin-badder-1g,Lemon Pepper Live Resin Badder | 1g,Purple Hills,49.95,False,,,,Concentrate,
88,flowertopia,lemon-z-pre-roll-3-pack-1-5g,Lemon Z Pre-Roll 3-pack | 1.5g,Weed Me,18.2,False,,,,Pre-Rolls,
89,flowertopia,lemon-z-up20,Lemon Z UP20,UP,25,False,,,,Flower,
90,flowertopia,lemonberry-haze-live-rosin-pax-pod-0-5g,Lemonberry Haze Live Rosin PAX Pod | 0.5g,Avana,47.95,False,,,,Vaporizers,
91,flowertopia,light-year-thc-softgels-30-pack,Light Year - THC Softgels | 30-Pack,Emprise Canada,38.43,False,30.74,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 20, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '62470e9a0211197a6cefb2b6', 'specialName': 'Self Care Saturday', 'specialRestrictions': {'concentrates-oil': {'discountType': 'percentDiscount'}, 'capsules-tablets': {'discountType': 'percentDiscount'}, 'Topicals': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Edible,
92,flowertopia,live-amnesia-haze-1g,Live Amnesia Haze | 1g,RAD,40.49,False,,,,Concentrate,
93,flowertopia,mac-1-41656,MAC 1,Citizen Stash,35.54,False,,,,Flower,
94,flowertopia,mandarin-cookie-pre-roll-3-pack-1-5g,Mandarin Cookie Pre-Roll 3-Pack | 1.5g,Weed Me,18.3,False,,,,Pre-Rolls,
95,flowertopia,mandarin-cookies,Mandarin Cookies,Back Forty,21.5,False,,,,Flower,
96,flowertopia,mango-haze,Mango Haze,Color Cannabis,26.07,False,,,,Flower,
97,flowertopia,mango-haze-balanced-cartridge-1g,Mango Haze Balanced Cartridge | 1g,Foray,47,False,,,,Vaporizers,
98,flowertopia,mango-sour-soft-chews,Mango Sour Soft Chews,Wana,6.99,False,,,,Edible,
99,flowertopia,mango-tango-dried-fruit,Mango Tango Dried Fruit,Rilaxe,6.49,False,,,,Edible,
100,flowertopia,mendo-breath,Mendo Breath,Coterie,39,False,,,,Flower,
101,flowertopia,milk-chocolate-bar,Milk Chocolate Bar,Bhang,4.49,False,,,,Edible,
102,flowertopia,muskmelon-og-wax-1g,Muskmelon OG Wax | 1g,Broken Coast Cannabis,58.49,False,,,,Concentrate,
103,flowertopia,ninja-fruit-cartridge-1g,Ninja Fruit Cartridge | 1g,Ness,35.55,False,,,,Vaporizers,
104,flowertopia,nova-twist-control-vape-battery-w-usb-charger-mixed-colour,Nova Twist Control Vape Battery w/USB Charger Mixed Colour,One Wholesale,16,False,,,,Accessories,
105,flowertopia,ocb-virgin-unbleached-organic-hemp-cones-king-size,OCB Virgin Unbleached Organic Hemp Cones - King Size,Humble and Fume,1.99,False,,,,Accessories,
106,flowertopia,og-kush-cartridge-0-5g,OG Kush Cartridge | 0.5g,Daily Special,27.99,False,,,,Vaporizers,
107,flowertopia,orange-chronic-cleaner-12oz-32279,Orange Chronic Cleaner | 12oz,Orange Chronic,9.49,True,,,,Accessories,
108,flowertopia,pax-era-pro-red-crimson,PAX Era Pro Red (Crimson),PAX,77.99,True,,,,Accessories,
