,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
40,avana-orange-kush-ck-live-resin-double-infused-cone-1g,Avana - Orange Kush CK Live Resin Double Infused Cone 1g,Avana,[15.75],False,[],,,Concentrate,
41,avana-select-live-rosin-1g,Avana - Select Live Rosin 1g,Avana,[51.99],False,[],,,Concentrate,
42,big-hash-blunt-1g,BIG - Hash Blunt 1g,BIG,[21.95],False,[],,,Concentrate,
43,blk-mkt-animal-sorbet-x-kush-mints-blnt-pre-roll-1x1g,BLK MKT - Animal Sorbet x Kush Mints BLNT Pre-Roll 1x1g,BLKMKT,[15.49],False,[],,,Pre-Rolls,
44,blk-mkt-cake-pops-blnt-1x1g,BLK MKT - Cake Pops BLNT 1x1g,BLKMKT,[15.49],False,[],,,Pre-Rolls,
45,blk-mkt-pineapple-p-pre-roll-1x1g,BLK MKT - Pineapple P Pre-Roll 1x1g,BLKMKT,[15.49],False,[],,,Pre-Rolls,
46,blk-mkt-upside-down-cake-pre-rolls-1x1g,BLK MKT - Upside Down Cake Pre-Rolls 1x1g,BLKMKT,[15.49],False,[],,,Pre-Rolls,
47,bold-growth-b-banner-3-5g,BOLD Growth - B Banner 3.5g,Bold Growth,[37.95],False,[],,,Flower,
48,boxhot-alien-og-510-thread-1-2g,BOXHOT - Alien OG 510 Thread 1.2g,BoxHot,[51.99],False,[],,,Vaporizers,
49,boxhot-peach-og-510-thread-cartridge-1-2g,BOXHOT - Peach OG 510 Thread Cartridge 1.2g,BoxHot,[51.99],False,[],,,Vaporizers,
50,boxhot-1000-cherry-kush-510-thread-cartridge-1-2g,BOXHOT 1000 - Cherry Kush 510 Thread Cartridge 1.2g,OCS,[51.99],False,[],,,Vaporizers,
51,back-forty-animal-mints,Back Forty - Animal Mints,Back Forty,"[21.95, 122.99]",False,[],,,Flower,
52,back-forty-bush-league-sour-kush-milled-flower-7g,Back Forty - Bush League Sour Kush Milled Flower 7g,Back Forty,[25.95],False,[],,,Flower,
53,back-forty-forbidden-fruit-510-thread-cartridge-0-45g,Back Forty - Forbidden Fruit 510 Thread Cartridge 0.45g,Back Forty,[21.75],False,[],,,Vaporizers,
54,back-forty-forbidden-fruit-510-thread-cartridge-1g,Back Forty - Forbidden Fruit 510 Thread Cartridge 1g,Back Forty,[34.99],False,[],,,Vaporizers,
55,back-forty-fruity-pebbles-og,Back Forty - Fruity Pebbles OG,Back Forty,"[18.95, 110.99]",False,[],,,Flower,
56,back-forty-kush-mint-510-thread-cartridge-0-45g,Back Forty - Kush Mint 510 Thread Cartridge 0.45g,Back Forty,[21.75],False,[],,,Vaporizers,
57,back-forty-kush-mint-510-thread-cartridge-1g,Back Forty - Kush Mint 510 Thread Cartridge 1g,Back Forty,[34.99],False,[],,,Vaporizers,
58,back-forty-mandarin-cookies-3-5g,Back Forty - Mandarin Cookies 3.5g,Back Forty,[21.95],False,[],,,Flower,
59,back-forty-s-mores-1x7-5g,Back Forty - S'mores 1x7.5g,Back Forty,[4.25],False,[],,,Edible,
60,back-forty-sour-apple-510-thread-1g,Back Forty - Sour Apple 510 Thread 1g,Back Forty,[34.99],False,[],,,Vaporizers,
61,back-forty-strawberry-cough-510-thread-cartridge-1g,Back Forty - Strawberry Cough 510 Thread Cartridge 1g,Back Forty,[34.99],False,[],,,Vaporizers,
62,back-forty-super-lemon-haze-510-thread-cartridge-0-45g,Back Forty - Super Lemon Haze 510 Thread Cartridge 0.45g,Back Forty,[21.75],False,[],,,Vaporizers,
63,back-forty-super-lemon-haze-510-thread-cartridge-1g,Back Forty - Super Lemon Haze 510 Thread Cartridge 1g,Back Forty,[34.99],False,[],,,Vaporizers,
