,seller,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
111,toke,guava-biscotti-blunts-3-pack-1-5g,Guava Biscotti Blunts 3-pack | 1.5g,The Loud Plug,20.35,False,,,,Pre-Rolls,
112,toke,guava-ghoul-pre-rolls-7-pack-3-5g,Guava Ghoul Pre-Rolls 7-Pack | 3.5g,Good Buds,23.9,False,,,,Pre-Rolls,
113,toke,hash-bats-jean-guy-hash-infused-pre-roll-3-pack-1-5g,Hash Bats: Jean Guy Hash Infused Pre-Roll 3-Pack | 1.5g,Good Supply,22.12,False,,,,Pre-Rolls,
114,toke,hash-bats-starwalker-kush-hash-infused-pre-roll-3-pack-1-5g,Hash Bats: Starwalker Kush Hash Infused Pre-Roll 3-Pack | 1.5g,Good Supply,22.12,False,,,,Pre-Rolls,
115,toke,hash-hits-5-pack,Hash Hits 5-pack,Embark,26.55,False,,,,Concentrate,
116,toke,haute-freezable-carb-cap,Haute - Freezable Carb Cap,Smoke Arsenal Inc.,13.27,False,,,,Accessories,
117,toke,hawaiian-pineapple,Hawaiian Pineapple,BC Black,35.4,False,,,,Flower,
118,toke,hazy-honey-0-5g,Hazy Honey | 0.5g,BOAZ ,42.48,False,,,,Concentrate,
119,toke,headband-seeds-4-pack,Headband Seeds | 4-pack,Pure Sunfarms,37.17,False,,,,Seeds,
120,toke,hemp-wick-10ft,Hemp Wick | 10ft,RAW,2.66,False,,,,Accessories,
121,toke,honeydew-boba-sativa-1-0-cartridge-0-95g,Honeydew Boba Sativa 1:0 Cartridge | 0.95g,General Admission,35.4,False,,,,Vaporizers,
122,toke,ice-cream-sandwich-chocolates,Ice Cream Sandwich Chocolates,Vacay,4.42,False,,,,Edible,
123,toke,iced-tea-raspberry,Iced Tea Raspberry,Tweed,5.31,False,,,,Edible,
124,toke,indica-cropped-harvest-14g,Indica Cropped Harvest | 14g,Divvy,48.68,False,,,,Flower,
125,toke,integra-boost-67g,Integra Boost (67g),,6.19,False,,,,Accessories,
126,toke,island-cherry-kawehnoke-eri-ko-wa-cartridge-1g,Island Cherry (Kawehnoke Eri'ko:wa) Cartridge | 1g,Sev7n,35.4,False,,,,Vaporizers,
127,toke,it-takes-two-to-mango-hash-rosin-soft-chews-2-pack,It Takes Two to Mango Hash Rosin Soft Chews 2-Pack,Fritz's Cannabis Company,10.62,False,,,,Edible,
128,toke,japanese-cedar-bud-cbd-face-cream,Japanese Cedar Bud CBD Face Cream,Pura Earth,44.25,False,,,,Topicals,
129,toke,japanese-citrus-yuzu-2-1-sour-soft-chews,Japanese Citrus Yuzu 2:1 Sour Soft Chews,Wana,7.96,False,,,,Edible,
130,toke,jean-guy,Jean Guy,Good Supply,141.59,False,,,,Flower,
131,toke,jean-guy-badder-1g,Jean Guy Badder | 1g,Good Supply,33.63,False,,,,Concentrate,
132,toke,jean-guy-pre-roll-1g,Jean Guy Pre-Roll | 1g,Good Supply,7.96,False,,,,Pre-Rolls,
133,toke,jeffrey-pre-roll-0-5g,Jeffrey Pre-Roll | 0.5g,Choice Growers,4.43,False,,,,Pre-Rolls,
134,toke,jet-fuel-gelato-straight-cut-pre-roll-5-pack-3-5g,Jet Fuel Gelato Straight Cut Pre-Roll 5-pack | 3.5g,Pure Sunfarms,22.12,False,,,,Pre-Rolls,
135,toke,jolts-electric-lemon-lozenges-10-pack,Jolts Electric Lemon Lozenges 10-pack,Edison Cannabis Co.,17.7,False,,,,Edible,
136,toke,juicy-hemp-wraps-juicy-hemp-wraps-cherry-pie-88839,Juicy Hemp Wraps  - Juicy Hemp Wraps (Cherry Pie),Smoke Arsenal Inc.,1.77,False,,,,Accessories,
137,toke,juicy-hemp-wraps-juicy-hemp-wraps-natural,Juicy Hemp Wraps  - Juicy Hemp Wraps (Natural),Smoke Arsenal Inc.,1.77,False,,,,Accessories,
138,toke,juicy-hemp-wraps-juicy-hemp-wraps-papaya-punch,Juicy Hemp Wraps  - Juicy Hemp Wraps (Papaya Punch),Smoke Arsenal Inc.,1.77,False,,,,Accessories,
139,toke,juicy-hemp-wraps-juicy-hemp-wraps-strawberry-sherbert,Juicy Hemp Wraps  - Juicy Hemp Wraps (Strawberry Sherbert),Smoke Arsenal Inc.,1.77,False,,,,Accessories,
140,toke,juicy-hemp-wraps-juicy-hemp-wraps-grape-soda,Juicy Hemp Wraps  - Juicy Hemp Wraps - Grape Soda,Smoke Arsenal Inc.,1.77,False,,,,Accessories,
141,toke,juicy-hemp-wraps-purple,Juicy Hemp Wraps Purple,Smoke Arsenal Inc.,1.77,False,,,,Accessories,
142,toke,king-of-the-north-cartridge-1g,King Of The North Cartridge | 1g,Hustle & Shake,35.4,False,,,,Vaporizers,
143,toke,king-palm-2-mini-rolls-banana,King Palm 2 Mini Rolls - Banana,Smoke Arsenal Inc.,3.09,False,,,,Accessories,
144,toke,lemon-iced-tea-beverage,Lemon Iced Tea Beverage,XMG,8.85,False,,,,Edible,
145,toke,lemon-lime-soda,Lemon Lime Soda,Bubble Kush,6.2,False,,,,Edible,
146,toke,lighter-leash-regular-pack,Lighter Leash Regular Pack,Smoke Arsenal Inc.,1.77,False,,,,Accessories,
147,toke,limon-splashdown,Limon Splashdown,Deep Space,8.85,False,,,,Edible,
148,toke,live-resin-shatter-1g,Live Resin Shatter | 1g,Essex County Cannabis,44.25,False,,,,Concentrate,
149,toke,lizard-glass-pipes,Lizard Glass Pipes,,17.69,False,,,,Accessories,
150,toke,london-pound-cake-pre-roll-1g,London Pound Cake Pre-Roll | 1g,Cookies,15.93,False,,,,Pre-Rolls,
151,toke,mad-mango-cartridge-1g,Mad Mango Cartridge | 1g,Versus,26.55,False,,,,Vaporizers,
152,toke,magic-melon-autoflower-5-pack,Magic Melon Autoflower 5-Pack,Humboldt Seed Company,53.1,False,,,,Seeds,
153,toke,mandarin-cookie,Mandarin Cookie,Weed Me,9.73,False,,,,Flower,
154,toke,mango-fizz,Mango Fizz,Tweed,5.31,False,,,,Edible,
155,toke,mango-sour-soft-chews,Mango Sour Soft Chews,Wana,7.96,False,,,,Edible,
156,toke,mango-tangerine-gummies-5-pack,Mango Tangerine Gummies 5-pack,Sunshower,8.85,False,,,,Edible,
157,toke,master-kush-milled-ready-to-roll,Master Kush Milled Ready-to-Roll,Common Ground,26.55,False,,,,Flower,
158,toke,medtainer-3pc-grinder-and-smell-proof-jar-assorted-colors,Medtainer 3pc Grinder and Smell Proof Jar - Assorted Colors,Smoke Arsenal Inc.,11.51,False,,,,Accessories,
159,toke,medtainer-xl-grinders,Medtainer XL Grinders,Smoke Arsenal Inc.,22.12,False,,,,Accessories,
160,toke,megamelon-cartridge-1g,Megamelon Cartridge | 1g,SHRED,33.63,False,,,,Vaporizers,
161,toke,milk-chocolate-cookies-cream,Milk Chocolate Cookies & Cream,Wabi Sabi,8.85,False,,,,Edible,
162,toke,mint-cookie-blzrd-white-chocolate,Mint Cookie BLZRD White Chocolate,Legend,5.31,False,,,,Edible,
163,toke,mirage-plus,Mirage Plus,SKOSHA,37.17,False,,,,Flower,
164,toke,natural-charcoal-cbd-face-mask-100g,Natural Charcoal CBD Face Mask | 100g,Proofly,40.71,False,,,,Topicals,
165,toke,nebula-ii-cbd-pre-roll-12-pack-4-2g,Nebula II CBD Pre-Roll 12-Pack | 4.2g,Divvy,23.01,False,,,,Pre-Rolls,
166,toke,northern-widow-shatter-1g,Northern Widow Shatter | 1g,Qwest,44.25,False,,,,Concentrate,
167,toke,og-cola,OG Cola,Sweet Justice,6.19,False,,,,Edible,
168,toke,og-lemonade,OG Lemonade,Vicious Citrus,8.84,False,,,,Edible,
169,toke,off-menu,Off Menu,Lot420,44.25,False,,,,Flower,
170,toke,orange-chronic-16-oz,Orange Chronic 16 Oz,Smoke Arsenal Inc.,13.28,False,,,,Accessories,
171,toke,orange-daydream-cbd-3-1-cartridge-1g,Orange Daydream CBD 3:1 Cartridge | 1g,Tenzo,48.67,False,,,,Vaporizers,
172,toke,orange-kush-ck-double-infused-pre-roll-1g,Orange Kush CK Double Infused Pre-Roll | 1g,Avana,15.92,False,,,,Pre-Rolls,
173,toke,orange-kush-classic-soda-10mg,Orange Kush Classic Soda | 10mg,Keef,6.2,False,,,,Edible,
174,toke,orange-kush-shatter-infused-pre-roll-1g,Orange Kush Shatter Infused Pre-Roll | 1g,Zest Cannabis,22.12,False,,,,Pre-Rolls,
175,toke,orange-layer-cake-pre-roll-4-pack-2g,Orange Layer Cake Pre-Roll 4-pack | 2g,Potluck,17.7,False,,,,Pre-Rolls,
176,toke,orange-monkey,Orange Monkey,liiv,22.12,False,,,,Flower,
177,toke,orange-monkey-pre-roll-1g,Orange Monkey Pre-Roll | 1g,liiv,8.85,False,,,,Pre-Rolls,
178,toke,orange-orbit,Orange Orbit,Deep Space,8.85,False,,,,Edible,
179,toke,orange-passionfruit-sparkling-soda,Orange Passionfruit Sparkling Soda,Green Monké,6.2,False,,,,Edible,
180,toke,organic-bubba-kush,Organic Bubba Kush,Whistler Cannabis Co.,44.25,False,,,,Flower,
